Incident energy,MT=1 : (n,total),MT=2 : (z,elastic),MT=102 : (z,?)
Incident energy,,,
Incident energy,?(E),?(E),?(E)
1.0E-5,222.7834,92.52898,130.2545
1.0625E-5,216.1722,89.80679,126.3654
1.125E-5,210.1209,87.31586,122.8051
1.1875E-5,204.555,85.0253,119.5297
1.25E-5,199.4128,82.90971,116.5031
1.375E-5,190.2038,79.12241,111.0814
1.5E-5,182.1743,75.82199,106.3523
1.625E-5,175.0927,72.91275,102.18
1.75E-5,168.7865,70.32341,98.4631
1.875E-5,163.124,67.99963,95.12439
2.0E-5,158.0029,65.89916,92.10379
2.1875E-5,151.164,63.09592,88.06807
2.375E-5,145.1552,60.63494,84.52024
2.5625E-5,139.8215,58.4522,81.3693
2.75E-5,135.0457,56.49932,78.54638
2.9375E-5,130.7372,54.73891,75.99825
3.125E-5,126.8246,53.14157,73.68303
3.3125E-5,123.2511,51.68381,71.56729
3.5E-5,119.9705,50.34662,69.62392
3.875E-5,114.1436,47.9743,66.16931
4.25E-5,109.1115,45.92884,63.18268
4.625E-5,104.7093,44.14226,60.56708
5.0E-5,100.8164,42.56486,58.25155
5.3125E-5,97.89524,41.38294,56.5123
5.625E-5,95.22341,40.30332,54.92008
5.9375E-5,92.76758,39.31229,53.45528
6.25E-5,90.50034,38.39857,52.10176
6.875E-5,86.44416,36.76707,49.67708
7.5E-5,82.91243,35.35025,47.56219
8.125E-5,79.80194,34.10567,45.69627
8.75E-5,77.03579,33.00176,44.03402
9.375E-5,74.55538,32.01447,42.54091
1.0E-4,72.31515,31.1251,41.19006
1.0625E-4,70.2791,30.31888,39.96022
1.125E-4,68.41834,29.58398,38.83436
1.1875E-4,66.70936,28.91077,37.79858
1.25E-4,65.13285,28.29135,36.8415
1.375E-4,62.31566,27.18867,35.12699
1.5E-4,59.86648,26.23494,33.63153
1.625E-4,57.71264,25.40051,32.31213
1.75E-4,55.80004,24.66329,31.13675
1.875E-4,54.08748,24.00652,30.08095
2.0E-4,52.54293,23.41717,29.12576
2.1875E-4,50.48718,22.63763,27.84955
2.375E-4,48.68816,21.96054,26.72763
2.5625E-4,47.09752,21.3663,25.73121
2.75E-4,45.67869,20.84016,24.83853
2.9375E-4,44.40347,20.37073,24.03274
3.125E-4,43.24969,19.94909,23.3006
3.3125E-4,42.19968,19.56814,22.63154
3.5E-4,41.23913,19.22213,22.017
3.875E-4,39.54162,18.61707,20.92456
4.25E-4,38.08533,18.10523,19.9801
4.625E-4,36.81939,17.66642,19.15298
5.0E-4,35.70668,17.28594,18.42074
5.3125E-4,34.8762,17.00546,17.87075
5.625E-4,34.12016,16.75292,17.36724
5.9375E-4,33.42838,16.52435,16.90404
6.25E-4,32.79251,16.31649,16.47602
6.875E-4,31.66192,15.95265,15.70927
7.5E-4,30.68525,15.64477,15.04048
8.125E-4,29.83138,15.38095,14.45043
8.75E-4,29.07723,15.15244,13.92479
9.375E-4,28.4053,14.95268,13.45263
0.0010,27.80206,14.77661,13.02545
0.0010625,27.25686,14.62031,12.63655
0.001125,26.76119,14.48067,12.28052
0.0011875,26.30817,14.35518,11.95299
0.00125,25.89217,14.24184,11.65033
0.001375,25.15337,14.0452,11.10817
0.0015,24.51587,13.88061,10.63527
0.001625,23.95892,13.74087,10.21804
0.00175,23.46718,13.62082,9.846359
0.001875,23.02909,13.5166,9.512494
0.0020,22.63572,13.42528,9.21044
0.0021875,22.11462,13.30775,8.806874
0.002375,21.66078,13.20869,8.452095
0.0025625,21.26108,13.12407,8.137005
0.00275,20.90568,13.05097,7.854715
0.0029375,20.58709,12.98718,7.599903
0.003125,20.29943,12.93104,7.368381
0.0033125,20.03806,12.88126,7.156805
0.0035,19.79926,12.8368,6.962465
0.003875,19.37778,12.76079,6.616997
0.00425,19.01651,12.69819,6.318321
0.004625,18.70249,12.64574,6.056747
0.0050,18.42633,12.60116,5.825179
0.0053125,18.22005,12.56881,5.65124
0.005625,18.03206,12.54006,5.492003
0.0059375,17.85984,12.51434,5.345508
0.00625,17.70132,12.49118,5.21014
0.006875,17.41883,12.45119,4.967641
0.0075,17.17399,12.41787,4.756124
0.008125,16.95918,12.38967,4.56951
0.00875,16.76877,12.3655,4.403272
0.009375,16.5985,12.34455,4.253956
0.01,16.44509,12.32622,4.118875
0.010625,16.30594,12.31004,3.995902
0.01125,16.17899,12.29566,3.88333
0.011875,16.06257,12.2828,3.779768
0.0125,15.95529,12.27122,3.684072
0.01375,15.76385,12.25122,3.512631
0.015,15.59763,12.23456,3.363069
0.01625,15.45154,12.22045,3.231091
0.0175,15.32187,12.20836,3.113505
0.01875,15.20577,12.19789,3.007882
0.02,15.10105,12.18872,2.912334
0.021325,15.00056,12.18017,2.820392
0.02265,14.90929,12.17262,2.736668
0.023975,14.82592,12.16591,2.660012
0.0253,14.74938,12.1599,2.589481
0.02684375,14.66765,12.15364,2.514002
0.0283875,14.59284,12.14807,2.444768
0.031475,14.46042,12.13856,2.321862
0.0345625,14.34646,12.13074,2.215724
0.03765,14.24706,12.12421,2.122854
0.0407375,14.15938,12.11866,2.040724
0.043825,14.08133,12.11389,1.967435
0.0469125,14.01127,12.10975,1.90152
0.05,13.94795,12.10612,1.841832
0.053125,13.8897,12.10287,1.786831
0.05625,13.8365,12.09999,1.736516
0.059375,13.78766,12.0974,1.690259
0.0625,13.7426,12.09507,1.647529
0.06875,13.66199,12.09105,1.570944
0.075,13.59174,12.08769,1.504048
0.08125,13.52982,12.08485,1.444972
0.0875,13.47474,12.0824,1.392335
0.09375,13.42534,12.08028,1.345061
0.1,13.38073,12.07842,1.302302
0.10625,13.34017,12.07678,1.263391
0.1125,13.30312,12.07532,1.227802
0.11875,13.26912,12.07401,1.195108
0.125,13.23776,12.07283,1.164929
0.1375,13.18159,12.07078,1.110812
0.15,13.13254,12.06906,1.06348
